,MBF,bestFitness,nIter,pm,pc,popSize
0,368.8992026714005,292.50550285354217,199,0.5,0.9,10
1,319.7594257174732,315.034106837842,2999,0.5,0.9,10
2,427.45720885640156,289.40893394811565,145,0.5,0.9,10
3,334.3926013238461,326.8204216893488,2999,0.5,0.9,10
4,322.7109581135587,284.380862862478,954,0.5,0.9,10
5,367.12542251149597,284.380862862478,631,0.5,0.9,10
6,333.4645361298112,321.58491380220966,2999,0.5,0.9,10
7,334.1800695841442,325.29966165230434,2999,0.5,0.9,10
8,372.83934656384855,292.96475798428474,215,0.5,0.9,10
9,369.9037971688503,323.5627236789965,2999,0.5,0.9,10
10,319.5752061737522,315.034106837842,2999,0.5,0.9,10
11,316.7556975003562,301.3581943139576,2999,0.5,0.9,10
12,359.3696370887886,356.4567347292015,2999,0.5,0.9,10
13,338.10881036851083,314.9990862932725,2999,0.5,0.9,10
14,379.26691485144727,372.95468227960515,2999,0.5,0.9,10
15,420.289748701212,292.96475798428474,113,0.5,0.9,10
16,347.26351607739105,327.31174929968205,2999,0.5,0.9,10
17,351.18195700917477,338.93179274331425,2999,0.5,0.9,10
18,363.09971742244994,358.0182581906838,2999,0.5,0.9,10
19,367.9596814669695,292.5055028535421,398,0.5,0.9,10
20,343.85580703377127,284.380862862478,927,0.5,0.9,10
21,366.187674435667,292.5055028535422,676,0.5,0.9,10
22,346.53261562229784,338.0671439046112,2999,0.5,0.9,10
23,329.18027301518913,321.5849138022096,2999,0.5,0.9,10
24,353.9506564867433,284.380862862478,348,0.5,0.9,10
25,356.60117639364404,292.5055028535422,372,0.5,0.9,10
26,358.41986764701085,284.38086286247795,376,0.5,0.9,10
27,330.06281282434975,325.9820865711127,2999,0.5,0.9,10
28,356.9177589708521,284.380862862478,201,0.5,0.9,10
29,340.1022542453956,314.9990862932725,2999,0.5,0.9,10
30,322.8587905849425,315.034106837842,2999,0.5,0.9,10
31,367.1502560571844,292.50550285354217,772,0.5,0.9,10
32,355.4453987823225,284.380862862478,710,0.5,0.9,10
33,320.3267001065555,315.034106837842,2999,0.5,0.9,10
34,365.3846060053052,284.380862862478,159,0.5,0.9,10
35,333.3326054871158,301.3581943139576,2999,0.5,0.9,10
36,367.18568791060795,284.380862862478,438,0.5,0.9,10
37,404.92144347535765,289.40893394811565,153,0.5,0.9,10
38,327.7612663337378,323.2197102159251,2999,0.5,0.9,10
39,355.33377159750177,284.380862862478,316,0.5,0.9,10
40,331.0510399131354,292.96475798428474,2404,0.5,0.9,10
41,323.33401731041863,314.99908629327246,2999,0.5,0.9,10
42,336.56376685811244,329.7125518692095,2999,0.5,0.9,10
