,MBF,bestFitness,nIter,pc,pm,popSize
0,360.1132688276636,284.38086286247795,287,0.5,0.9,10
1,342.49995967486973,337.91416509370475,2999,0.5,0.9,10
2,349.10994163837097,284.38086286247795,1397,0.5,0.9,10
3,377.8285963967214,292.5055028535422,727,0.5,0.9,10
4,326.9583660343642,321.58491380220966,2999,0.5,0.9,10
5,383.1212528403753,289.40893394811565,176,0.5,0.9,10
6,320.49114977654307,284.380862862478,710,0.5,0.9,10
7,320.5655916234128,315.0341068378419,2999,0.5,0.9,10
8,324.78304981791797,315.24992686236004,2999,0.5,0.9,10
9,326.4867859552515,321.5849138022096,2999,0.5,0.9,10
10,352.13540157117956,284.380862862478,231,0.5,0.9,10
11,311.41283830699416,301.35819431395754,2999,0.5,0.9,10
12,325.1974622705985,315.03410683784193,2999,0.5,0.9,10
13,375.23535524255095,292.5055028535422,150,0.5,0.9,10
14,334.5447405569372,315.034106837842,2999,0.5,0.9,10
15,378.8233410516429,284.38086286247795,211,0.5,0.9,10
16,306.9273774983732,301.35819431395754,2999,0.5,0.9,10
17,328.043666434453,323.21971021592503,2999,0.5,0.9,10
18,319.40116462604044,314.9990862932725,2999,0.5,0.9,10
19,360.8308826841327,357.13915964800987,2999,0.5,0.9,10
20,304.7850834388814,301.35819431395754,2999,0.5,0.9,10
21,379.6769444884215,292.5055028535422,361,0.5,0.9,10
22,317.60530139449315,315.03410683784193,2999,0.5,0.9,10
23,414.9015227610417,292.5055028535422,87,0.5,0.9,10
24,378.420714583633,292.96475798428474,223,0.5,0.9,10
25,330.2540489114772,326.82042168934885,2999,0.5,0.9,10
26,335.28180686329256,284.380862862478,1782,0.5,0.9,10
27,328.63936047288905,315.034106837842,2999,0.5,0.9,10
28,352.98253169705043,314.99908629327246,2999,0.5,0.9,10
29,339.89628742940647,301.3581943139576,2999,0.5,0.9,10
30,415.5104552724342,289.40893394811565,84,0.5,0.9,10
31,330.6583482882938,328.63563578117163,2999,0.5,0.9,10
32,357.6789247211025,292.5055028535422,157,0.5,0.9,10
33,320.6677488951045,314.9990862932725,2999,0.5,0.9,10
34,314.66696496103407,284.38086286247795,1923,0.5,0.9,10
35,345.8913532238866,284.38086286247795,211,0.5,0.9,10
36,318.85236740798075,315.03410683784193,2999,0.5,0.9,10
37,310.79393919987103,301.35819431395754,2999,0.5,0.9,10
38,375.4272876557936,292.50550285354217,266,0.5,0.9,10
39,325.00077976680353,321.58491380220966,2999,0.5,0.9,10
40,361.83244597107966,352.25296386305837,2999,0.5,0.9,10
41,378.1603323730352,284.380862862478,316,0.5,0.9,10
42,361.3228521080579,284.38086286247807,321,0.5,0.9,10
43,341.84010878297926,336.4550869951447,2999,0.5,0.9,10
44,308.93761859054143,301.35819431395754,2999,0.5,0.9,10
45,318.63038023311987,315.0341068378418,2999,0.5,0.9,10
46,330.4388087690083,284.38086286247795,507,0.5,0.9,10
47,327.489974688093,284.380862862478,419,0.5,0.9,10
48,332.6846511171159,323.219710215925,2999,0.5,0.9,10
49,329.4902077737141,319.01548898315707,2999,0.5,0.9,10
50,308.8543915188637,301.3581943139576,2999,,0.9,10
51,324.43608230763783,319.77916767621053,2999,,0.9,10
52,325.43976074634685,321.5849138022096,2999,,0.9,10
53,325.9717853261127,321.58491380220966,2999,,0.9,10
54,347.5779370833336,292.50550285354217,215,,0.9,10
55,436.66608224795823,289.4089339481157,70,,0.9,10
56,326.93803286598205,323.219710215925,2999,,0.9,10
57,320.92669379092797,315.03410683784193,2999,,0.9,10
58,326.0991111820887,321.5849138022096,2999,,0.9,10
59,320.7900723146883,315.03410683784193,2999,,0.9,10
60,318.57472503747846,315.034106837842,2999,,0.9,10
61,350.04252716320394,292.96475798428474,1907,,0.9,10
62,336.00149113258993,292.5055028535422,175,,0.9,10
63,305.50490252485264,301.35819431395754,2999,,0.9,10
64,320.16415062084104,314.99908629327246,2999,,0.9,10
65,329.41247605394324,323.219710215925,2999,,0.9,10
66,347.44261863621495,289.40893394811565,477,,0.9,10
67,321.34392921127983,315.0341068378418,2999,,0.9,10
68,320.20095529603776,315.03410683784193,2999,,0.9,10
69,318.75166786102585,314.9990862932724,2999,,0.9,10
70,372.14859142665506,292.50550285354217,291,,0.9,10
